Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude
Package[8477],3:4:46:14,-36.88,2.28,8.9,-0.67,13.021231,101.21326
Package[8479],3:4:46:16,-36.88,2.75,8.47,-1.1,13.021231,101.21326
Package[8481],3:4:46:17,-36.88,2.75,9.65,-0.67,13.021231,101.21326
Package[8483],3:4:46:18,-36.88,2.59,10,-1.37,13.021231,101.21326
Package[8485],3:4:46:20,-36.81,3.14,9.96,-0.43,13.021489,101.21304
Package[8487],3:4:46:21,-36.81,2.35,8.9,-0.82,13.021489,101.21304
Package[8489],3:4:46:23,-36.75,2.59,9.22,-1.8,13.021596,101.21296
Package[8491],3:4:46:24,-36.69,1.92,10.12,-0.98,13.021596,101.21296
Package[8493],3:4:46:25,-36.56,3.02,9.96,-0.55,13.021596,101.21296
Package[8495],3:4:46:27,-36.56,2.43,8.79,-0.9,13.021596,101.21296
Package[8497],3:4:46:28,-36.5,2.24,8.9,-1.22,13.021815,101.21253
Package[8501],3:4:46:31,-36.38,2.9,9.96,-0.94,13.021815,101.21253
Package[8503],3:4:46:32,-36.31,2.59,9.41,-0.86,13.021815,101.21253
Package[8507],3:4:46:35,-36.38,2.9,9.45,-0.59,13.021815,101.21253
Package[8509],3:4:46:37,-36.19,2.16,9.34,-0.47,13.021815,101.21253
Package[8511],3:4:46:38,-36,2.75,8.98,-0.67,13.021815,101.21253
Package[8513],3:4:46:39,-36.06,2.71,9.45,-0.82,13.022222,101.21212
Package[8515],3:4:46:41,-35.88,2.47,9.73,-0.78,13.022247,101.21206
Package[8517],3:4:46:42,-35.81,2.63,9.3,-0.98,13.022247,101.21206
Package[8519],3:4:46:44,-35.69,2.71,9.14,-0.63,13.022247,101.21206
Package[8521],3:4:46:45,-35.56,2.24,8.71,-1.26,13.022247,101.21206
Package[8523],3:4:46:46,-35.44,2.9,9.49,-0.86,13.022247,101.21206
Package[8525],3:4:46:48,-35.38,2.9,9.81,-0.55,13.022247,101.21206
Package[8527],3:4:46:49,-35.44,2.39,9.77,-0.82,13.022247,101.21206
Package[8529],3:4:46:51,-35.38,2.55,8.98,-1.22,13.022405,101.21178
Package[8641],3:4:48:9,-33.06,2.43,9.61,-0.86,13.025616,101.21026
Package[8643],3:4:48:10,-32.81,2.98,9.49,-0.43,13.02571,101.21017
