Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude
Package[189],3:3:3:59,31.44,-0.16,10.00,-1.65,12.972447,101.456680
Package[191],3:3:4:0,31.44,-0.08,9.92,-1.77,12.972447,101.456680
Package[193],3:3:4:2,31.50,-0.12,9.96,-1.77,12.972426,101.456690
Package[195],3:3:4:3,31.50,-0.08,9.92,-1.77,12.972406,101.456700
Package[197],3:3:4:4,31.50,-0.04,9.92,-1.65,12.972406,101.456700
Package[199],3:3:4:6,31.50,-0.08,9.96,-1.69,12.972406,101.456700
Package[201],3:3:4:7,31.50,-0.08,9.96,-1.73,12.972406,101.456700
Package[203],3:3:4:9,31.50,-0.12,9.96,-1.77,12.972406,101.456700
Package[205],3:3:4:10,31.56,-0.12,9.96,-1.77,12.972406,101.456700
Package[207],3:3:4:11,31.56,0.00,9.96,-1.73,12.972406,101.456700
Package[209],3:3:4:13,31.56,-0.12,9.92,-1.61,12.972406,101.456700
Package[211],3:3:4:14,31.56,-0.16,9.96,-1.69,12.972406,101.456700
Package[213],3:3:4:15,31.56,-0.08,10.00,-1.73,12.972406,101.456700
Package[215],3:3:4:17,31.63,0.04,9.85,-1.57,12.972406,101.456700
Package[217],3:3:4:18,31.63,-0.12,9.89,-1.73,12.972406,101.456700
Package[219],3:3:4:19,31.63,0.00,9.92,-1.49,12.972406,101.456700
Package[221],3:3:4:21,31.63,-0.31,9.77,-2.08,12.972406,101.456700
Package[223],3:3:4:22,31.63,-0.08,9.96,-1.84,12.972406,101.456700
Package[225],3:3:4:23,31.63,-0.16,9.92,-1.57,12.972406,101.456700
Package[227],3:3:4:25,31.63,-0.12,10.00,-1.65,12.972406,101.456700
Package[229],3:3:4:26,31.63,-0.04,9.92,-1.53,12.972406,101.456700
Package[231],3:3:4:27,31.63,-0.04,10.00,-1.80,12.972406,101.456700
Package[233],3:3:4:29,31.63,-0.08,9.92,-1.69,12.972317,101.456710
Package[235],3:3:4:30,31.69,-0.08,9.96,-1.65,12.972316,101.456710
Package[237],3:3:4:31,31.63,-0.08,9.92,-1.65,12.972316,101.456710
Package[239],3:3:4:33,31.69,-0.04,10.00,-1.65,12.972314,101.456730
Package[241],3:3:4:34,31.69,-0.08,9.96,-1.65,12.972314,101.456730
Package[243],3:3:4:36,31.69,-0.12,9.96,-1.65,12.972315,101.456740
Package[245],3:3:4:37,31.69,-0.08,9.92,-1.69,12.972315,101.456740
Package[247],3:3:4:38,31.69,-0.12,9.92,-1.61,12.972315,101.456740
