Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude
Package[53],3:3:2:30,31.25,-0.08,9.96,-1.57,0.000000,0.000000
Package[55],3:3:2:31,31.25,-0.04,10.00,-1.57,0.000000,0.000000
Package[57],3:3:2:33,31.25,-0.08,9.96,-1.45,0.000000,0.000000
Package[59],3:3:2:34,31.25,0.00,9.92,-1.65,0.000000,0.000000
Package[61],3:3:2:35,31.25,-0.08,9.96,-1.61,0.000000,0.000000
Package[63],3:3:2:36,31.25,-0.08,9.96,-1.61,0.000000,0.000000
Package[65],3:3:2:38,31.19,-0.08,9.96,-1.49,0.000000,0.000000
Package[67],3:3:2:39,31.19,-0.04,9.96,-1.57,0.000000,0.000000
Package[69],3:3:2:40,31.19,-0.04,9.96,-1.49,0.000000,0.000000
Package[71],3:3:2:41,31.19,-0.08,9.92,-1.45,0.000000,0.000000
Package[73],3:3:2:43,31.25,-0.08,10.00,-1.57,0.000000,0.000000
Package[75],3:3:2:44,31.19,0.00,10.20,-1.41,0.000000,0.000000
Package[77],3:3:2:45,31.19,-0.08,9.96,-1.57,0.000000,0.000000
Package[79],3:3:2:46,31.25,-0.08,9.92,-1.45,0.000000,0.000000
Package[81],3:3:2:47,31.25,-0.16,9.77,-0.98,0.000000,0.000000
Package[83],3:3:2:49,31.25,-0.08,9.92,-1.57,0.000000,0.000000
Package[85],3:3:2:50,31.25,0.00,10.00,-1.53,0.000000,0.000000
Package[87],3:3:2:51,31.25,-0.04,9.89,-1.57,0.000000,0.000000
Package[89],3:3:2:52,31.25,-0.08,9.92,-1.53,0.000000,0.000000
Package[91],3:3:2:54,31.19,-0.04,9.92,-1.53,0.000000,0.000000
Package[93],3:3:2:55,31.25,-0.20,10.04,-2.12,0.000000,0.000000
Package[95],3:3:2:56,31.25,-0.08,9.96,-1.61,0.000000,0.000000
Package[97],3:3:2:57,31.25,0.00,9.96,-1.65,0.000000,0.000000
Package[99],3:3:2:58,31.25,-0.04,9.92,-1.61,0.000000,0.000000
Package[101],3:3:3:0,31.19,-0.04,10.00,-1.29,0.000000,0.000000
Package[103],3:3:3:1,31.19,-0.16,10.00,-1.49,0.000000,0.000000
Package[105],3:3:3:2,31.25,-0.12,9.92,-1.57,12.972570,101.457020
Package[107],3:3:3:4,31.25,-0.12,9.92,-1.69,12.972566,101.457000
Package[109],3:3:3:5,31.25,-0.08,9.92,-1.65,12.972566,101.457000
Package[111],3:3:3:6,31.25,-0.20,10.00,-1.57,12.972566,101.457000
Package[113],3:3:3:8,31.19,-0.12,9.85,-1.80,12.972578,101.457010
Package[115],3:3:3:9,31.25,-0.16,8.98,-1.49,12.972578,101.457010
Package[117],3:3:3:10,31.25,0.27,9.57,-2.47,12.972578,101.457010
Package[119],3:3:3:12,31.25,1.45,10.90,-1.10,12.972560,101.456900
Package[121],3:3:3:13,31.25,0.35,8.75,-1.45,12.972560,101.456900
Package[123],3:3:3:14,31.25,2.47,13.57,-2.59,12.972560,101.456900
Package[125],3:3:3:16,31.25,-0.24,9.26,-1.77,12.972528,101.456830
Package[127],3:3:3:17,31.25,2.08,12.40,-1.88,12.972528,101.456830
Package[129],3:3:3:18,31.25,2.28,8.47,0.43,12.972528,101.456830
Package[131],3:3:3:20,31.25,-1.29,9.53,-1.92,12.972481,101.456760
Package[133],3:3:3:21,31.25,-0.12,9.96,-1.69,12.972481,101.456760
Package[135],3:3:3:22,31.25,-0.12,9.96,-1.65,12.972481,101.456760
Package[137],3:3:3:24,31.25,-0.12,9.96,-1.77,12.972464,101.456760
Package[139],3:3:3:25,31.25,-0.12,9.96,-1.69,12.972447,101.456760
Package[141],3:3:3:26,31.25,-0.12,9.96,-1.65,12.972447,101.456760
