Package[7821],3:4:38:31,-45.38,2.79,9.65,-0.59,13.026157,101.25882,,,,,,,
Package[7823],3:4:38:33,-45.38,2.08,10.12,-1.69,13.026157,101.25882,,,,,,,
Package[7825],3:4:38:34,-45.44,2.35,9.85,-1.26,13.026363,101.25837,,,,,,,
Package[7827],3:4:38:36,-45.38,2.71,8.98,-0.51,13.026363,101.25837,,,,,,,
Package[7829],3:4:38:37,-45.44,2.31,9.22,-0.9,13.026363,101.25837,,,,,,,
Package[7831],3:4:38:38,-45.44,3.33,9.73,-1.02,13.026363,101.25837,,,,,,,
Package[7833],3:4:38:40,-45.5,2.55,10,-0.47,13.02651,101.25796,,,,,,,
Package[7835],3:4:38:41,-45.5,2.47,8.75,-0.98,13.02651,101.25796,,,,,,,
Package[7837],3:4:38:43,-45.5,2.9,8.87,-0.86,13.02651,101.25796,,,,,,,
Package[7839],3:4:38:44,-45.5,2.51,10.04,-1.06,13.026774,101.25745,,,,,,,
Package[7841],3:4:38:46,-45.56,3.06,10.12,-1.06,13.026774,101.25745,,,,,,,
Package[7843],3:4:38:47,-45.69,2.43,8.9,-1.14,13.026774,101.25745,,,,,,,
Package[7845],3:4:38:48,-45.69,2.31,8.51,-0.63,13.026774,101.25745,,,,,,,
Package[7847],3:4:38:50,-45.56,2.55,8.71,-1.06,13.026966,101.25691,,,,,,,
Package[7849],3:4:38:51,-45.56,2.43,8.98,-0.75,13.026966,101.25691,,,,,,,
Package[7851],3:4:38:53,-45.56,2.86,9.77,-0.67,13.026966,101.25691,,,,,,,
Package[7853],3:4:38:54,-45.5,2.67,10.2,-1.02,13.027253,101.25636,,,,,,,
Package[7855],3:4:38:56,-45.44,2.82,10.12,-1.06,13.027253,101.25636,,,,,,,
Package[7857],3:4:38:57,-45.31,2.31,9.57,-0.86,13.027253,101.25636,,,,,,,
Package[7859],3:4:38:58,-45.19,2.2,8.59,-0.71,13.027253,101.25636,,,,,,,
Package[7861],3:4:39:0,-45.06,2.59,9.3,-1.26,13.027567,101.25584,,,,,,,
Package[7863],3:4:39:1,-45,2.59,10.2,-0.63,13.027567,101.25584,,,,,,,
Package[7865],3:4:39:3,-44.94,2.47,9.34,-1.29,13.027567,101.25584,,,,,,,
Package[7867],3:4:39:4,-45.06,2.43,9.1,-1.26,13.027567,101.25584,,,,,,,
Package[7869],3:4:39:5,-44.94,2.51,9.45,-0.43,13.027567,101.25584,,,,,,,
Package[7871],3:4:39:7,-45,2.55,10.16,-0.9,13.027972,101.25524,,,,,,,
Package[7873],3:4:39:8,-44.94,2.67,9.3,-1.1,13.027972,101.25524,,,,,,,
Package[7875],3:4:39:10,-44.94,2.43,9.49,-0.71,13.027972,101.25524,,,,,,,
Package[7877],3:4:39:11,-44.94,3.14,9.85,-0.24,13.028391,101.25472,,,,,,,
Package[7879],3:4:39:13,-44.88,2.28,9.57,-0.59,13.028391,101.25472,,,,,,,
Package[7881],3:4:39:14,-44.94,2.51,9.26,-0.63,13.028391,101.25472,,,,,,,
Package[7883],3:4:39:15,-44.81,2,8.94,-0.98,13.028391,101.25472,,,,,,,
Package[7885],3:4:39:17,-44.75,2.35,8.9,-0.67,13.028729,101.25426,,,,,,,
Package[7887],3:4:39:18,-44.69,2.75,9.57,-0.82,13.028729,101.25426,,,,,,,
Package[7889],3:4:39:20,-44.81,2.39,10.04,-0.98,13.028729,101.25426,,,,,,,
Package[7891],3:4:39:21,-44.75,2.9,9.53,-1.26,13.029101,101.25385,,,,,,,
Package[7893],3:4:39:23,-44.63,2.24,8.9,-0.82,13.029101,101.25385,,,,,,,
Package[7895],3:4:39:24,-44.69,2.39,9.57,-0.94,13.029101,101.25385,,,,,,,
Package[7897],3:4:39:25,-44.63,2.82,9.57,-0.71,13.029101,101.25385,,,,,,,
Package[7899],3:4:39:27,-44.56,2.63,9.02,-0.9,13.029455,101.2534,,,,,,,
Package[7901],3:4:39:28,-44.63,2.51,9.06,-1.02,13.029455,101.2534,,,,,,,
Package[7903],3:4:39:30,-44.5,2.75,9.81,-1.26,13.029455,101.2534,,,,,,,
Package[7905],3:4:39:31,-44.44,2.82,9.61,-0.86,13.029455,101.2534,,,,,,,
Package[7907],3:4:39:32,-44.25,2.63,9.3,-0.75,13.029455,101.2534,,,,,,,
Package[7909],3:4:39:34,-44.44,2.39,8.98,-0.86,13.029773,101.2528,,,,,,,
Package[7911],3:4:39:35,-44.56,2.39,10.04,-1.02,13.029773,101.2528,,,,,,,
Package[7913],3:4:39:37,-44.56,2.55,10.12,-1.1,13.029773,101.2528,,,,,,,
Package[7915],3:4:39:38,-44.31,2.94,9.1,-0.47,13.029994,101.25243,,,,,,,
Package[7917],3:4:39:40,-44.25,2.2,8.63,-1.02,13.029994,101.25243,,,,,,,
Package[7919],3:4:39:41,-44.19,2.55,9.81,-0.98,13.029994,101.25243,,,,,,,
Package[7921],3:4:39:42,-43.94,3.02,9.96,-0.98,13.029994,101.25243,,,,,,,
Package[7923],3:4:39:44,-43.81,2.43,10,-0.78,13.030284,101.25201,,,,,,,
Package[7925],3:4:39:45,-43.69,2.63,9.38,-0.94,13.030284,101.25201,,,,,,,
